Charge Amount,Bank,Place of Business
$6789.25,Wells Fargo,"Microsoft\n Store"
$6790.25,Bank of America,"Jack in\n the box"
$6791.25,Chase,"Mcdon\nalds"
$6792.25,Wells Fargo,"Wen\ndys"
$6793.25,Bank of America,"Apple\n Store"
$6794.25,Chase,"Microsoft\n Store"
$6795.25,Wells Fargo,"Jack in\n the box"
$6796.25,Bank of America,"Mcdon\nalds"
$6797.25,Chase,"Wen\ndys"
$6798.25,Wells Fargo,"Apple\n Store"
$6799.25,Bank of America,"Microsoft\n Store"
$6800.25,Chase,"Jack in\n the box"
$6801.25,Wells Fargo,"Mcdon\nalds"
$6802.25,Bank of America,"Wen\ndys"
$6803.25,Chase,"Apple\n Store"
$6804.25,Wells Fargo,"Microsoft\n Store"
$6805.25,Bank of America,"Jack in\n the box"
$6806.25,Chase,"Mcdon\nalds"
$6807.25,Wells Fargo,"Wen\ndys"
$6808.25,Bank of America,"Apple\n Store"
$6809.25,Chase,"Microsoft\n Store"
$6810.25,Wells Fargo,"Jack in\n the box"
$6811.25,Bank of America,"Mcdon\nalds"
$6812.25,Chase,"Wen\ndys"
$6813.25,Wells Fargo,"Apple\n Store"
$6814.25,Bank of America,"Microsoft\n Store"
$6815.25,Chase,"Jack in\n the box"
$6816.25,Wells Fargo,"Mcdon\nalds"
$6817.25,Bank of America,"Wen\ndys"
$6818.25,Chase,"Apple\n Store"
$6819.25,Wells Fargo,"Microsoft\n Store"
$6820.25,Bank of America,"Jack in\n the box"
$6821.25,Chase,"Mcdon\nalds"
$6822.25,Wells Fargo,"Wen\ndys"
$6823.25,Bank of America,"Apple\n Store"
$6824.25,Chase,"Microsoft\n Store"
$6825.25,Wells Fargo,"Jack in\n the box"
$6826.25,Bank of America,"Mcdon\nalds"
$6827.25,Chase,"Wen\ndys"
$6828.25,Wells Fargo,"Apple\n Store"
$6829.25,Bank of America,"Microsoft\n Store"
$6830.25,Chase,"Jack in\n the box"
$6831.25,Wells Fargo,"Mcdon\nalds"
$6832.25,Bank of America,"Wen\ndys"
$6833.25,Chase,"Apple\n Store"
$6834.25,Wells Fargo,"Microsoft\n Store"
$6835.25,Bank of America,"Jack in\n the box"
$6836.25,Chase,"Mcdon\nalds"
$6837.25,Wells Fargo,"Wen\ndys"
$6838.25,Bank of America,"Apple\n Store"
$6839.25,Chase,"Microsoft\n Store"
$6840.25,Wells Fargo,"Jack in\n the box"
$6841.25,Bank of America,"Mcdon\nalds"
$6842.25,Chase,"Wen\ndys"
$6843.25,Wells Fargo,"Apple\n Store"
$6844.25,Bank of America,"Microsoft\n Store"
$6845.25,Chase,"Jack in\n the box"
$6846.25,Wells Fargo,"Mcdon\nalds"
$6847.25,Bank of America,"Wen\ndys"
$6848.25,Chase,"Apple\n Store"
$6849.25,Wells Fargo,"Microsoft\n Store"
$6850.25,Bank of America,"Jack in\n the box"
$6851.25,Chase,"Mcdon\nalds"
$6852.25,Wells Fargo,"Wen\ndys"
$6853.25,Bank of America,"Apple\n Store"
$6854.25,Chase,"Microsoft\n Store"
$6855.25,Wells Fargo,"Jack in\n the box"
$6856.25,Bank of America,"Mcdon\nalds"
$6857.25,Chase,"Wen\ndys"
$6858.25,Wells Fargo,"Apple\n Store"
$6859.25,Bank of America,"Microsoft\n Store"
$6860.25,Chase,"Jack in\n the box"
$6861.25,Wells Fargo,"Mcdon\nalds"
$6862.25,Bank of America,"Wen\ndys"
$6863.25,Chase,"Apple\n Store"
$6864.25,Wells Fargo,"Microsoft\n Store"
$6865.25,Bank of America,"Jack in\n the box"
$6866.25,Chase,"Mcdon\nalds"
$6867.25,Wells Fargo,"Wen\ndys"
$6868.25,Bank of America,"Apple\n Store"
$6869.25,Chase,"Microsoft\n Store"
$6870.25,Wells Fargo,"Jack in\n the box"
$6871.25,Bank of America,"Mcdon\nalds"
$6872.25,Chase,"Wen\ndys"
$6873.25,Wells Fargo,"Apple\n Store"
$6874.25,Bank of America,"Microsoft\n Store"
$6875.25,Chase,"Jack in\n the box"
$6876.25,Wells Fargo,"Mcdon\nalds"
$6877.25,Bank of America,"Wen\ndys"
$6878.25,Chase,"Apple\n Store"
$6879.25,Wells Fargo,"Microsoft\n Store"
$6880.25,Bank of America,"Jack in\n the box"
$6881.25,Chase,"Mcdon\nalds"
$6882.25,Wells Fargo,"Wen\ndys"
$6883.25,Bank of America,"Apple\n Store"
$6884.25,Chase,"Microsoft\n Store"
$6885.25,Wells Fargo,"Jack in\n the box"
$6886.25,Bank of America,"Mcdon\nalds"
$6887.25,Chase,"Wen\ndys"
$6888.25,Wells Fargo,"Apple\n Store"
$6889.25,Bank of America,"Microsoft\n Store"
$6890.25,Chase,"Jack in\n the box"
$6891.25,Wells Fargo,"Mcdon\nalds"
$6892.25,Bank of America,"Wen\ndys"
$6893.25,Chase,"Apple\n Store"
$6894.25,Wells Fargo,"Microsoft\n Store"
$6895.25,Bank of America,"Jack in\n the box"
$6896.25,Chase,"Mcdon\nalds"
$6897.25,Wells Fargo,"Wen\ndys"
$6898.25,Bank of America,"Apple\n Store"
$6899.25,Chase,"Microsoft\n Store"
$6900.25,Wells Fargo,"Jack in\n the box"
$6901.25,Bank of America,"Mcdon\nalds"
$6902.25,Chase,"Wen\ndys"
$6903.25,Wells Fargo,"Apple\n Store"
$6904.25,Bank of America,"Microsoft\n Store"
$6905.25,Chase,"Jack in\n the box"
$6906.25,Wells Fargo,"Mcdon\nalds"
$6907.25,Bank of America,"Wen\ndys"
$6908.25,Chase,"Apple\n Store"
$6909.25,Wells Fargo,"Microsoft\n Store"
$6910.25,Bank of America,"Jack in\n the box"
$6911.25,Chase,"Mcdon\nalds"
$6912.25,Wells Fargo,"Wen\ndys"
$6913.25,Bank of America,"Apple\n Store"
$6914.25,Chase,"Microsoft\n Store"
$6915.25,Wells Fargo,"Jack in\n the box"
$6916.25,Bank of America,"Mcdon\nalds"
$6917.25,Chase,"Wen\ndys"
$6918.25,Wells Fargo,"Apple\n Store"
$6919.25,Bank of America,"Microsoft\n Store"
$6920.25,Chase,"Jack in\n the box"
$6921.25,Wells Fargo,"Mcdon\nalds"
$6922.25,Bank of America,"Wen\ndys"
$6923.25,Chase,"Apple\n Store"
$6924.25,Wells Fargo,"Microsoft\n Store"
$6925.25,Bank of America,"Jack in\n the box"
$6926.25,Chase,"Mcdon\nalds"
$6927.25,Wells Fargo,"Wen\ndys"
$6928.25,Bank of America,"Apple\n Store"
$6929.25,Chase,"Microsoft\n Store"
$6930.25,Wells Fargo,"Jack in\n the box"
$6931.25,Bank of America,"Mcdon\nalds"
$6932.25,Chase,"Wen\ndys"
$6933.25,Wells Fargo,"Apple\n Store"
$6934.25,Bank of America,"Microsoft\n Store"
$6935.25,Chase,"Jack in\n the box"
$6936.25,Wells Fargo,"Mcdon\nalds"
$6937.25,Bank of America,"Wen\ndys"
$6938.25,Chase,"Apple\n Store"
$6939.25,Wells Fargo,"Microsoft\n Store"
$6940.25,Bank of America,"Jack in\n the box"
$6941.25,Chase,"Mcdon\nalds"
$6942.25,Wells Fargo,"Wen\ndys"
$6943.25,Bank of America,"Apple\n Store"
$6944.25,Chase,"Microsoft\n Store"
$6945.25,Wells Fargo,"Jack in\n the box"
$6946.25,Bank of America,"Mcdon\nalds"
$6947.25,Chase,"Wen\ndys"
$6948.25,Wells Fargo,"Apple\n Store"
$6949.25,Bank of America,"Microsoft\n Store"
$6950.25,Chase,"Jack in\n the box"
$6951.25,Wells Fargo,"Mcdon\nalds"
$6952.25,Bank of America,"Wen\ndys"
$6953.25,Chase,"Apple\n Store"
$6954.25,Wells Fargo,"Microsoft\n Store"
$6955.25,Bank of America,"Jack in\n the box"
$6956.25,Chase,"Mcdon\nalds"
$6957.25,Wells Fargo,"Wen\ndys"
$6958.25,Bank of America,"Apple\n Store"
$6959.25,Chase,"Microsoft\n Store"
$6960.25,Wells Fargo,"Jack in\n the box"
$6961.25,Bank of America,"Mcdon\nalds"
$6962.25,Chase,"Wen\ndys"
$6963.25,Wells Fargo,"Apple\n Store"
$6964.25,Bank of America,"Microsoft\n Store"
$6965.25,Chase,"Jack in\n the box"
$6966.25,Wells Fargo,"Mcdon\nalds"
$6967.25,Bank of America,"Wen\ndys"
$6968.25,Chase,"Apple\n Store"
$6969.25,Wells Fargo,"Microsoft\n Store"
$6970.25,Bank of America,"Jack in\n the box"
$6971.25,Chase,"Mcdon\nalds"
$6972.25,Wells Fargo,"Wen\ndys"
$6973.25,Bank of America,"Apple\n Store"
$6974.25,Chase,"Microsoft\n Store"
$6975.25,Wells Fargo,"Jack in\n the box"
$6976.25,Bank of America,"Mcdon\nalds"
$6977.25,Chase,"Wen\ndys"
$6978.25,Wells Fargo,"Apple\n Store"
$6979.25,Bank of America,"Microsoft\n Store"
$6980.25,Chase,"Jack in\n the box"
$6981.25,Wells Fargo,"Mcdon\nalds"
$6982.25,Bank of America,"Wen\ndys"
$6983.25,Chase,"Apple\n Store"
$6984.25,Wells Fargo,"Microsoft\n Store"
$6985.25,Bank of America,"Jack in\n the box"
$6986.25,Chase,"Mcdon\nalds"
$6987.25,Wells Fargo,"Wen\ndys"
$6988.25,Bank of America,"Apple\n Store"
$6989.25,Chase,"Microsoft\n Store"
$6990.25,Wells Fargo,"Jack in\n the box"
$6991.25,Bank of America,"Mcdon\nalds"
$6992.25,Chase,"Wen\ndys"
$6993.25,Wells Fargo,"Apple\n Store"
$6994.25,Bank of America,"Microsoft\n Store"
$6995.25,Chase,"Jack in\n the box"
$6996.25,Wells Fargo,"Mcdon\nalds"
$6997.25,Bank of America,"Wen\ndys"
$6998.25,Chase,"Apple\n Store"
$6999.25,Wells Fargo,"Microsoft\n Store"
$7000.25,Bank of America,"Jack in\n the box"
$7001.25,Chase,"Mcdon\nalds"
$7002.25,Wells Fargo,"Wen\ndys"
$7003.25,Bank of America,"Apple\n Store"
$7004.25,Chase,"Microsoft\n Store"
$7005.25,Wells Fargo,"Jack in\n the box"
$7006.25,Bank of America,"Mcdon\nalds"
$7007.25,Chase,"Wen\ndys"
$7008.25,Wells Fargo,"Apple\n Store"
$7009.25,Bank of America,"Microsoft\n Store"
$7010.25,Chase,"Jack in\n the box"
$7011.25,Wells Fargo,"Mcdon\nalds"
$7012.25,Bank of America,"Wen\ndys"
$7013.25,Chase,"Apple\n Store"
$7014.25,Wells Fargo,"Microsoft\n Store"
$7015.25,Bank of America,"Jack in\n the box"
$7016.25,Chase,"Mcdon\nalds"
$7017.25,Wells Fargo,"Wen\ndys"
$7018.25,Bank of America,"Apple\n Store"
$7019.25,Chase,"Microsoft\n Store"
$7020.25,Wells Fargo,"Jack in\n the box"
$7021.25,Bank of America,"Mcdon\nalds"
$7022.25,Chase,"Wen\ndys"
$7023.25,Wells Fargo,"Apple\n Store"
$7024.25,Bank of America,"Microsoft\n Store"
$7025.25,Chase,"Jack in\n the box"
$7026.25,Wells Fargo,"Mcdon\nalds"
$7027.25,Bank of America,"Wen\ndys"
$7028.25,Chase,"Apple\n Store"
$7029.25,Wells Fargo,"Microsoft\n Store"
$7030.25,Bank of America,"Jack in\n the box"
$7031.25,Chase,"Mcdon\nalds"
$7032.25,Wells Fargo,"Wen\ndys"
$7033.25,Bank of America,"Apple\n Store"
$7034.25,Chase,"Microsoft\n Store"
$7035.25,Wells Fargo,"Jack in\n the box"
$7036.25,Bank of America,"Mcdon\nalds"
$7037.25,Chase,"Wen\ndys"
$7038.25,Wells Fargo,"Apple\n Store"
$7039.25,Bank of America,"Microsoft\n Store"
$7040.25,Chase,"Jack in\n the box"
$7041.25,Wells Fargo,"Mcdon\nalds"
$7042.25,Bank of America,"Wen\ndys"
$7043.25,Chase,"Apple\n Store"
$7044.25,Wells Fargo,"Microsoft\n Store"
$7045.25,Bank of America,"Jack in\n the box"
$7046.25,Chase,"Mcdon\nalds"
$7047.25,Wells Fargo,"Wen\ndys"
$7048.25,Bank of America,"Apple\n Store"
$7049.25,Chase,"Microsoft\n Store"
$7050.25,Wells Fargo,"Jack in\n the box"
$7051.25,Bank of America,"Mcdon\nalds"
$7052.25,Chase,"Wen\ndys"
$7053.25,Wells Fargo,"Apple\n Store"
$7054.25,Bank of America,"Microsoft\n Store"
$7055.25,Chase,"Jack in\n the box"
$7056.25,Wells Fargo,"Mcdon\nalds"
$7057.25,Bank of America,"Wen\ndys"
$7058.25,Chase,"Apple\n Store"
$7059.25,Wells Fargo,"Microsoft\n Store"
$7060.25,Bank of America,"Jack in\n the box"
$7061.25,Chase,"Mcdon\nalds"
$7062.25,Wells Fargo,"Wen\ndys"
$7063.25,Bank of America,"Apple\n Store"
$7064.25,Chase,"Microsoft\n Store"
$7065.25,Wells Fargo,"Jack in\n the box"
$7066.25,Bank of America,"Mcdon\nalds"
$7067.25,Chase,"Wen\ndys"
$7068.25,Wells Fargo,"Apple\n Store"
$7069.25,Bank of America,"Microsoft\n Store"
$7070.25,Chase,"Jack in\n the box"
$7071.25,Wells Fargo,"Mcdon\nalds"
$7072.25,Bank of America,"Wen\ndys"
$7073.25,Chase,"Apple\n Store"
$7074.25,Wells Fargo,"Microsoft\n Store"
$7075.25,Bank of America,"Jack in\n the box"
$7076.25,Chase,"Mcdon\nalds"
$7077.25,Wells Fargo,"Wen\ndys"
$7078.25,Bank of America,"Apple\n Store"
$7079.25,Chase,"Microsoft\n Store"
$7080.25,Wells Fargo,"Jack in\n the box"
$7081.25,Bank of America,"Mcdon\nalds"
$7082.25,Chase,"Wen\ndys"
$7083.25,Wells Fargo,"Apple\n Store"
$7084.25,Bank of America,"Microsoft\n Store"
$7085.25,Chase,"Jack in\n the box"
$7086.25,Wells Fargo,"Mcdon\nalds"
$7087.25,Bank of America,"Wen\ndys"
$7088.25,Chase,"Apple\n Store"
$7089.25,Wells Fargo,"Microsoft\n Store"
$7090.25,Bank of America,"Jack in\n the box"
$7091.25,Chase,"Mcdon\nalds"
$7092.25,Wells Fargo,"Wen\ndys"
$7093.25,Bank of America,"Apple\n Store"
$7094.25,Chase,"Microsoft\n Store"
$7095.25,Wells Fargo,"Jack in\n the box"
$7096.25,Bank of America,"Mcdon\nalds"
$7097.25,Chase,"Wen\ndys"
$7098.25,Wells Fargo,"Apple\n Store"
$7099.25,Bank of America,"Microsoft\n Store"
$7100.25,Chase,"Jack in\n the box"
$7101.25,Wells Fargo,"Mcdon\nalds"
$7102.25,Bank of America,"Wen\ndys"
$7103.25,Chase,"Apple\n Store"
$7104.25,Wells Fargo,"Microsoft\n Store"
$7105.25,Bank of America,"Jack in\n the box"
$7106.25,Chase,"Mcdon\nalds"
$7107.25,Wells Fargo,"Wen\ndys"
$7108.25,Bank of America,"Apple\n Store"
$7109.25,Chase,"Microsoft\n Store"
$7110.25,Wells Fargo,"Jack in\n the box"
$7111.25,Bank of America,"Mcdon\nalds"
$7112.25,Chase,"Wen\ndys"
$7113.25,Wells Fargo,"Apple\n Store"
$7114.25,Bank of America,"Microsoft\n Store"
$7115.25,Chase,"Jack in\n the box"
$7116.25,Wells Fargo,"Mcdon\nalds"
$7117.25,Bank of America,"Wen\ndys"
$7118.25,Chase,"Apple\n Store"
$7119.25,Wells Fargo,"Microsoft\n Store"
$7120.25,Bank of America,"Jack in\n the box"
$7121.25,Chase,"Mcdon\nalds"
$7122.25,Wells Fargo,"Wen\ndys"
$7123.25,Bank of America,"Apple\n Store"
$7124.25,Chase,"Microsoft\n Store"
$7125.25,Wells Fargo,"Jack in\n the box"
$7126.25,Bank of America,"Mcdon\nalds"
$7127.25,Chase,"Wen\ndys"
$7128.25,Wells Fargo,"Apple\n Store"
$7129.25,Bank of America,"Microsoft\n Store"
$7130.25,Chase,"Jack in\n the box"
$7131.25,Wells Fargo,"Mcdon\nalds"
$7132.25,Bank of America,"Wen\ndys"
$7133.25,Chase,"Apple\n Store"
$7134.25,Wells Fargo,"Microsoft\n Store"
$7135.25,Bank of America,"Jack in\n the box"
$7136.25,Chase,"Mcdon\nalds"
$7137.25,Wells Fargo,"Wen\ndys"
$7138.25,Bank of America,"Apple\n Store"
$7139.25,Chase,"Microsoft\n Store"
$7140.25,Wells Fargo,"Jack in\n the box"
$7141.25,Bank of America,"Mcdon\nalds"
$7142.25,Chase,"Wen\ndys"
$7143.25,Wells Fargo,"Apple\n Store"
$7144.25,Bank of America,"Microsoft\n Store"
$7145.25,Chase,"Jack in\n the box"
$7146.25,Wells Fargo,"Mcdon\nalds"
$7147.25,Bank of America,"Wen\ndys"
$7148.25,Chase,"Apple\n Store"
$7149.25,Wells Fargo,"Microsoft\n Store"
$7150.25,Bank of America,"Jack in\n the box"
$7151.25,Chase,"Mcdon\nalds"
$7152.25,Wells Fargo,"Wen\ndys"
$7153.25,Bank of America,"Apple\n Store"
$7154.25,Chase,"Microsoft\n Store"
$7155.25,Wells Fargo,"Jack in\n the box"
$7156.25,Bank of America,"Mcdon\nalds"
$7157.25,Chase,"Wen\ndys"
$7158.25,Wells Fargo,"Apple\n Store"
$7159.25,Bank of America,"Microsoft\n Store"
$7160.25,Chase,"Jack in\n the box"
$7161.25,Wells Fargo,"Mcdon\nalds"
$7162.25,Bank of America,"Wen\ndys"
$7163.25,Chase,"Apple\n Store"
$7164.25,Wells Fargo,"Microsoft\n Store"
$7165.25,Bank of America,"Jack in\n the box"
$7166.25,Chase,"Mcdon\nalds"
$7167.25,Wells Fargo,"Wen\ndys"
$7168.25,Bank of America,"Apple\n Store"
$7169.25,Chase,"Microsoft\n Store"
$7170.25,Wells Fargo,"Jack in\n the box"
$7171.25,Bank of America,"Mcdon\nalds"
$7172.25,Chase,"Wen\ndys"
$7173.25,Wells Fargo,"Apple\n Store"
$7174.25,Bank of America,"Microsoft\n Store"
$7175.25,Chase,"Jack in\n the box"
$7176.25,Wells Fargo,"Mcdon\nalds"
$7177.25,Bank of America,"Wen\ndys"
$7178.25,Chase,"Apple\n Store"
$7179.25,Wells Fargo,"Microsoft\n Store"
$7180.25,Bank of America,"Jack in\n the box"
$7181.25,Chase,"Mcdon\nalds"
$7182.25,Wells Fargo,"Wen\ndys"
$7183.25,Bank of America,"Apple\n Store"
$7184.25,Chase,"Microsoft\n Store"
$7185.25,Wells Fargo,"Jack in\n the box"
$7186.25,Bank of America,"Mcdon\nalds"
$7187.25,Chase,"Wen\ndys"
$7188.25,Wells Fargo,"Apple\n Store"
$7189.25,Bank of America,"Microsoft\n Store"
$7190.25,Chase,"Jack in\n the box"
$7191.25,Wells Fargo,"Mcdon\nalds"
$7192.25,Bank of America,"Wen\ndys"
$7193.25,Chase,"Apple\n Store"
$7194.25,Wells Fargo,"Microsoft\n Store"
$7195.25,Bank of America,"Jack in\n the box"
$7196.25,Chase,"Mcdon\nalds"
$7197.25,Wells Fargo,"Wen\ndys"
$7198.25,Bank of America,"Apple\n Store"
$7199.25,Chase,"Microsoft\n Store"
$7200.25,Wells Fargo,"Jack in\n the box"
$7201.25,Bank of America,"Mcdon\nalds"
$7202.25,Chase,"Wen\ndys"
$7203.25,Wells Fargo,"Apple\n Store"
$7204.25,Bank of America,"Microsoft\n Store"
$7205.25,Chase,"Jack in\n the box"
$7206.25,Wells Fargo,"Mcdon\nalds"
$7207.25,Bank of America,"Wen\ndys"
$7208.25,Chase,"Apple\n Store"
$7209.25,Wells Fargo,"Microsoft\n Store"
$7210.25,Bank of America,"Jack in\n the box"
$7211.25,Chase,"Mcdon\nalds"
$7212.25,Wells Fargo,"Wen\ndys"
$7213.25,Bank of America,"Apple\n Store"
$7214.25,Chase,"Microsoft\n Store"
$7215.25,Wells Fargo,"Jack in\n the box"
$7216.25,Bank of America,"Mcdon\nalds"
$7217.25,Chase,"Wen\ndys"
$7218.25,Wells Fargo,"Apple\n Store"
$7219.25,Bank of America,"Microsoft\n Store"
$7220.25,Chase,"Jack in\n the box"
$7221.25,Wells Fargo,"Mcdon\nalds"
$7222.25,Bank of America,"Wen\ndys"
$7223.25,Chase,"Apple\n Store"
$7224.25,Wells Fargo,"Microsoft\n Store"
$7225.25,Bank of America,"Jack in\n the box"
$7226.25,Chase,"Mcdon\nalds"
$7227.25,Wells Fargo,"Wen\ndys"
$7228.25,Bank of America,"Apple\n Store"
$7229.25,Chase,"Microsoft\n Store"
$7230.25,Wells Fargo,"Jack in\n the box"
$7231.25,Bank of America,"Mcdon\nalds"
$7232.25,Chase,"Wen\ndys"
$7233.25,Wells Fargo,"Apple\n Store"
$7234.25,Bank of America,"Microsoft\n Store"
$7235.25,Chase,"Jack in\n the box"
$7236.25,Wells Fargo,"Mcdon\nalds"
$7237.25,Bank of America,"Wen\ndys"
$7238.25,Chase,"Apple\n Store"
$7239.25,Wells Fargo,"Microsoft\n Store"
$7240.25,Bank of America,"Jack in\n the box"
$7241.25,Chase,"Mcdon\nalds"
$7242.25,Wells Fargo,"Wen\ndys"
$7243.25,Bank of America,"Apple\n Store"
$7244.25,Chase,"Microsoft\n Store"
$7245.25,Wells Fargo,"Jack in\n the box"
$7246.25,Bank of America,"Mcdon\nalds"
$7247.25,Chase,"Wen\ndys"
$7248.25,Wells Fargo,"Apple\n Store"
$7249.25,Bank of America,"Microsoft\n Store"
$7250.25,Chase,"Jack in\n the box"
$7251.25,Wells Fargo,"Mcdon\nalds"
$7252.25,Bank of America,"Wen\ndys"
$7253.25,Chase,"Apple\n Store"
$7254.25,Wells Fargo,"Microsoft\n Store"
$7255.25,Bank of America,"Jack in\n the box"
$7256.25,Chase,"Mcdon\nalds"
$7257.25,Wells Fargo,"Wen\ndys"
$7258.25,Bank of America,"Apple\n Store"
$7259.25,Chase,"Microsoft\n Store"
$7260.25,Wells Fargo,"Jack in\n the box"
$7261.25,Bank of America,"Mcdon\nalds"
$7262.25,Chase,"Wen\ndys"
$7263.25,Wells Fargo,"Apple\n Store"
$7264.25,Bank of America,"Microsoft\n Store"
$7265.25,Chase,"Jack in\n the box"
$7266.25,Wells Fargo,"Mcdon\nalds"
$7267.25,Bank of America,"Wen\ndys"
$7268.25,Chase,"Apple\n Store"
$7269.25,Wells Fargo,"Microsoft\n Store"
$7270.25,Bank of America,"Jack in\n the box"
$7271.25,Chase,"Mcdon\nalds"
$7272.25,Wells Fargo,"Wen\ndys"
$7273.25,Bank of America,"Apple\n Store"
$7274.25,Chase,"Microsoft\n Store"
$7275.25,Wells Fargo,"Jack in\n the box"
$7276.25,Bank of America,"Mcdon\nalds"
$7277.25,Chase,"Wen\ndys"
$7278.25,Wells Fargo,"Apple\n Store"
$7279.25,Bank of America,"Microsoft\n Store"
$7280.25,Chase,"Jack in\n the box"
$7281.25,Wells Fargo,"Mcdon\nalds"
$7282.25,Bank of America,"Wen\ndys"
$7283.25,Chase,"Apple\n Store"
$7284.25,Wells Fargo,"Microsoft\n Store"
$7285.25,Bank of America,"Jack in\n the box"
$7286.25,Chase,"Mcdon\nalds"
$7287.25,Wells Fargo,"Wen\ndys"
$7288.25,Bank of America,"Apple\n Store"
$7289.25,Chase,"Microsoft\n Store"
$7290.25,Wells Fargo,"Jack in\n the box"
$7291.25,Bank of America,"Mcdon\nalds"
$7292.25,Chase,"Wen\ndys"
$7293.25,Wells Fargo,"Apple\n Store"
$7294.25,Bank of America,"Microsoft\n Store"
$7295.25,Chase,"Jack in\n the box"
$7296.25,Wells Fargo,"Mcdon\nalds"
$7297.25,Bank of America,"Wen\ndys"
$7298.25,Chase,"Apple\n Store"
$7299.25,Wells Fargo,"Microsoft\n Store"
$7300.25,Bank of America,"Jack in\n the box"
$7301.25,Chase,"Mcdon\nalds"
$7302.25,Wells Fargo,"Wen\ndys"
$7303.25,Bank of America,"Apple\n Store"
$7304.25,Chase,"Microsoft\n Store"
$7305.25,Wells Fargo,"Jack in\n the box"
$7306.25,Bank of America,"Mcdon\nalds"
$7307.25,Chase,"Wen\ndys"
$7308.25,Wells Fargo,"Apple\n Store"
$7309.25,Bank of America,"Microsoft\n Store"
$7310.25,Chase,"Jack in\n the box"
$7311.25,Wells Fargo,"Mcdon\nalds"
$7312.25,Bank of America,"Wen\ndys"
$7313.25,Chase,"Apple\n Store"
$7314.25,Wells Fargo,"Microsoft\n Store"
$7315.25,Bank of America,"Jack in\n the box"
$7316.25,Chase,"Mcdon\nalds"
$7317.25,Wells Fargo,"Wen\ndys"
$7318.25,Bank of America,"Apple\n Store"
$7319.25,Chase,"Microsoft\n Store"
$7320.25,Wells Fargo,"Jack in\n the box"
$7321.25,Bank of America,"Mcdon\nalds"
$7322.25,Chase,"Wen\ndys"
$7323.25,Wells Fargo,"Apple\n Store"
$7324.25,Bank of America,"Microsoft\n Store"
$7325.25,Chase,"Jack in\n the box"
$7326.25,Wells Fargo,"Mcdon\nalds"
$7327.25,Bank of America,"Wen\ndys"
$7328.25,Chase,"Apple\n Store"
$7329.25,Wells Fargo,"Microsoft\n Store"
$7330.25,Bank of America,"Jack in\n the box"
$7331.25,Chase,"Mcdon\nalds"
$7332.25,Wells Fargo,"Wen\ndys"
$7333.25,Bank of America,"Apple\n Store"
$7334.25,Chase,"Microsoft\n Store"
$7335.25,Wells Fargo,"Jack in\n the box"
$7336.25,Bank of America,"Mcdon\nalds"
$7337.25,Chase,"Wen\ndys"
$7338.25,Wells Fargo,"Apple\n Store"
$7339.25,Bank of America,"Microsoft\n Store"
$7340.25,Chase,"Jack in\n the box"
$7341.25,Wells Fargo,"Mcdon\nalds"
$7342.25,Bank of America,"Wen\ndys"
$7343.25,Chase,"Apple\n Store"
$7344.25,Wells Fargo,"Microsoft\n Store"
$7345.25,Bank of America,"Jack in\n the box"
$7346.25,Chase,"Mcdon\nalds"
$7347.25,Wells Fargo,"Wen\ndys"
$7348.25,Bank of America,"Apple\n Store"
$7349.25,Chase,"Microsoft\n Store"
$7350.25,Wells Fargo,"Jack in\n the box"
$7351.25,Bank of America,"Mcdon\nalds"
$7352.25,Chase,"Wen\ndys"
$7353.25,Wells Fargo,"Apple\n Store"
$7354.25,Bank of America,"Microsoft\n Store"
$7355.25,Chase,"Jack in\n the box"
$7356.25,Wells Fargo,"Mcdon\nalds"
$7357.25,Bank of America,"Wen\ndys"
$7358.25,Chase,"Apple\n Store"
$7359.25,Wells Fargo,"Microsoft\n Store"
$7360.25,Bank of America,"Jack in\n the box"
$7361.25,Chase,"Mcdon\nalds"
$7362.25,Wells Fargo,"Wen\ndys"
$7363.25,Bank of America,"Apple\n Store"
$7364.25,Chase,"Microsoft\n Store"
$7365.25,Wells Fargo,"Jack in\n the box"
$7366.25,Bank of America,"Mcdon\nalds"
$7367.25,Chase,"Wen\ndys"
$7368.25,Wells Fargo,"Apple\n Store"
$7369.25,Bank of America,"Microsoft\n Store"
$7370.25,Chase,"Jack in\n the box"
$7371.25,Wells Fargo,"Mcdon\nalds"
$7372.25,Bank of America,"Wen\ndys"
$7373.25,Chase,"Apple\n Store"
$7374.25,Wells Fargo,"Microsoft\n Store"
$7375.25,Bank of America,"Jack in\n the box"
$7376.25,Chase,"Mcdon\nalds"
$7377.25,Wells Fargo,"Wen\ndys"
$7378.25,Bank of America,"Apple\n Store"
$7379.25,Chase,"Microsoft\n Store"
$7380.25,Wells Fargo,"Jack in\n the box"
$7381.25,Bank of America,"Mcdon\nalds"
$7382.25,Chase,"Wen\ndys"
$7383.25,Wells Fargo,"Apple\n Store"
$7384.25,Bank of America,"Microsoft\n Store"
$7385.25,Chase,"Jack in\n the box"
$7386.25,Wells Fargo,"Mcdon\nalds"
$7387.25,Bank of America,"Wen\ndys"
$7388.25,Chase,"Apple\n Store"
$7389.25,Wells Fargo,"Microsoft\n Store"
$7390.25,Bank of America,"Jack in\n the box"
$7391.25,Chase,"Mcdon\nalds"
$7392.25,Wells Fargo,"Wen\ndys"
$7393.25,Bank of America,"Apple\n Store"
$7394.25,Chase,"Microsoft\n Store"
$7395.25,Wells Fargo,"Jack in\n the box"
